"Table with row headers in columns A and B, and column headers in rows 4 through 5.",,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2016",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
STATE,Race,Sex,Total Population,Total Citizen Population,Registered,,,,,Voted,,,,
,,,,,Total registered,"Percent registered
(Total)",Margin of Error 1,"Percent registered
(Citizen)",Margin of Error 1,Total voted,"Percent voted
(Total)",Margin of Error 1,"Percent voted
(Citizen)",Margin of Error 1
US,Total,Unknown,245502,224059,157596,64.2,0.3,70.3,0.3,137537,56,0.3,61.4,0.3
,Unknown,Male,118488,107554,73761,62.3,0.4,68.6,0.4,63801,53.8,0.4,59.3,0.5
,Unknown,Female,127013,116505,83835,66,0.4,72,0.4,73735,58.1,0.4,63.3,0.4
,White alone,Unknown,192129,177865,127463,66.3,0.3,71.7,0.3,111891,58.2,0.3,62.9,0.4
,White non-Hispanic alone,Unknown,157395,154450,114151,72.5,0.3,73.9,0.3,100849,64.1,0.4,65.3,0.4
,Black alone,Unknown,30608,28808,19984,65.3,1,69.4,1,17119,55.9,1.1,59.4,1.1
,Asian alone,Unknown,14881,10283,5785,38.9,1.6,56.3,1.9,5043,33.9,1.5,49,1.9
,Hispanic (of any race),Unknown,38990,26662,15267,39.2,1.2,57.3,1.5,12682,32.5,1.1,47.6,1.5
,White alone or in combination,Unknown,195716,181268,129664,66.3,0.3,71.5,0.3,113707,58.1,0.3,62.7,0.3
,Black alone or in combination,Unknown,32211,30326,20935,65,1,69,1,17875,55.5,1,58.9,1.1
,Asian alone or in combination,Unknown,15750,11118,6369,40.4,1.5,57.3,1.8,5542,35.2,1.5,49.9,1.8
ALABAMA,Total,Unknown,3717,3651,2526,68,2.5,69.2,2.5,2095,56.4,2.7,57.4,2.7
,Unknown,Male,1761,1718,1155,65.6,3.7,67.2,3.7,944,53.6,3.9,54.9,3.9
,Unknown,Female,1955,1933,1371,70.1,3.4,70.9,3.4,1151,58.9,3.6,59.6,3.6
,White alone,Unknown,2633,2604,1772,67.3,3,68,3,1465,55.6,3.2,56.2,3.2
,White non-Hispanic alone,Unknown,2532,2526,1742,68.8,3,69,3,1441,56.9,3.2,57,3.2
,Black alone,Unknown,962,953,694,72.2,5.7,72.8,5.7,579,60.2,6.2,60.8,6.3
,Asian alone,Unknown,27,10,3,B,B,B,B,3,B,B,B,B
,Hispanic (of any race),Unknown,117,83,32,B,B,B,B,27,B,B,B,B
,White alone or in combination,Unknown,2673,2644,1801,67.4,3,68.1,3,1489,55.7,3.1,56.3,3.2
,Black alone or in combination,Unknown,985,976,704,71.5,5.7,72.1,5.7,587,59.6,6.2,60.2,6.2
,Asian alone or in combination,Unknown,36,19,6,B,B,B,B,6,B,B,B,B
ALASKA,Total,Unknown,518,502,358,69.1,2.6,71.3,2.6,308,59.4,2.8,61.3,2.8
,Unknown,Male,267,258,181,67.9,3.7,70.1,3.7,152,57,4,58.8,4
,Unknown,Female,251,243,177,70.3,3.8,72.6,3.7,156,62,4,64,4
,White alone,Unknown,346,340,261,75.5,3,76.8,3,234,67.7,3.3,68.9,3.3
,White non-Hispanic alone,Unknown,334,329,252,75.5,3.1,76.7,3,226,67.7,3.3,68.7,3.3
,Black alone,Unknown,17,17,10,B,B,B,B,8,B,B,B,B
,Asian alone,Unknown,27,19,9,B,B,B,B,8,B,B,B,B
,Hispanic (of any race),Unknown,24,23,17,B,B,B,B,17,B,B,B,B
,White alone or in combination,Unknown,369,363,279,75.8,2.9,77,2.9,250,67.9,3.2,69,3.2
,Black alone or in combination,Unknown,26,26,14,B,B,B,B,12,B,B,B,B
,Asian alone or in combination,Unknown,32,24,13,B,B,B,B,12,B,B,B,B
ARIZONA,Total,Unknown,5196,4585,3145,60.5,2.2,68.6,2.3,2769,53.3,2.3,60.4,2.4
,Unknown,Male,2525,2256,1485,58.8,3.2,65.8,3.3,1273,50.4,3.3,56.5,3.5
,Unknown,Female,2671,2329,1660,62.2,3.1,71.3,3.1,1496,56,3.2,64.2,3.3
,White alone,Unknown,4471,3950,2773,62,2.4,70.2,2.4,2480,55.5,2.5,62.8,2.5
,White non-Hispanic alone,Unknown,2940,2875,2145,73,2.7,74.6,2.7,1963,66.8,2.9,68.3,2.9
,Black alone,Unknown,252,237,165,65.6,12,69.8,12,121,47.9,12.6,50.9,13
,Asian alone,Unknown,169,108,69,40.6,15.8,63.3,19.4,56,33.1,15.2,51.6,20.1
,Hispanic (of any race),Unknown,1613,1145,654,40.5,6.4,57.1,7.6,543,33.7,6.1,47.4,7.7
,White alone or in combination,Unknown,4571,4048,2815,61.6,2.4,69.5,2.4,2518,55.1,2.4,62.2,2.5
,Black alone or in combination,Unknown,296,281,183,61.7,11.3,65,11.4,138,46.6,11.6,49.1,12
,Asian alone or in combination,Unknown,180,117,78,43,15.4,66.1,18.3,56,31,14.4,47.7,19.3
ARKANSAS,Total,Unknown,2216,2116,1456,65.7,2.7,68.8,2.6,1241,56,2.8,58.7,2.8
,Unknown,Male,1055,1001,679,64.4,3.9,67.8,3.9,574,54.4,4,57.4,4.1
,Unknown,Female,1161,1115,777,66.9,3.6,69.7,3.6,667,57.4,3.8,59.8,3.9
,White alone,Unknown,1822,1749,1196,65.6,2.9,68.4,2.9,1032,56.7,3.1,59,3.1
,White non-Hispanic alone,Unknown,1689,1674,1166,69.1,3,69.7,3,1008,59.7,3.1,60.2,3.1
,Black alone,Unknown,321,316,231,71.9,8,73,7.9,186,57.9,8.8,58.8,8.8
,Asian alone,Unknown,36,16,6,B,B,B,B,6,B,B,B,B
,Hispanic (of any race),Unknown,135,77,29,B,B,B,B,24,B,B,B,B
,White alone or in combination,Unknown,1848,1775,1213,65.6,2.9,68.3,2.9,1043,56.5,3,58.8,3.1
,Black alone or in combination,Unknown,325,320,235,72.2,7.9,73.3,7.9,190,58.4,8.7,59.3,8.7
,Asian alone or in combination,Unknown,36,16,6,B,B,B,B,6,B,B,B,B
CALIFORNIA,Total,Unknown,29894,24890,16096,53.8,1,64.7,1,14416,48.2,1,57.9,1
,Unknown,Male,14604,12131,7663,52.5,1.4,63.2,1.5,6833,46.8,1.4,56.3,1.5
,Unknown,Female,15289,12759,8433,55.2,1.3,66.1,1.4,7583,49.6,1.3,59.4,1.4
,White alone,Unknown,21592,18104,12084,56,1.1,66.7,1.2,10908,50.5,1.1,60.3,1.2
,White non-Hispanic alone,Unknown,12480,11954,8732,70,1.4,73,1.3,8020,64.3,1.4,67.1,1.4
,Black alone,Unknown,1849,1768,1018,55,4.6,57.6,4.7,856,46.3,4.7,48.4,4.8
,Asian alone,Unknown,4838,3585,2080,43,3,58,3.5,1859,38.4,2.9,51.9,3.5
,Hispanic (of any race),Unknown,10221,7092,3882,38,2.5,54.7,3.1,3345,32.7,2.4,47.2,3.1
,White alone or in combination,Unknown,22327,18781,12589,56.4,1.1,67,1.1,11363,50.9,1.1,60.5,1.2
,Black alone or in combination,Unknown,2111,2007,1161,55,4.3,57.9,4.4,990,46.9,4.4,49.3,4.5
,Asian alone or in combination,Unknown,5066,3798,2243,44.3,2.9,59,3.3,2007,39.6,2.9,52.8,3.4
COLORADO,Total,Unknown,4242,3895,2893,68.2,2.4,74.3,2.3,2707,63.8,2.5,69.5,2.5
,Unknown,Male,2102,1902,1401,66.7,3.4,73.7,3.4,1297,61.7,3.5,68.2,3.6
,Unknown,Female,2140,1994,1492,69.7,3.3,74.8,3.2,1410,65.9,3.4,70.7,3.4
,White alone,Unknown,3743,3517,2663,71.2,2.5,75.7,2.4,2494,66.6,2.6,70.9,2.5
,White non-Hispanic alone,Unknown,3181,3125,2421,76.1,2.5,77.5,2.5,2281,71.7,2.7,73,2.6
,Black alone,Unknown,185,167,124,67,13.9,74.1,13.7,124,67,13.9,74.1,13.7
,Asian alone,Unknown,170,104,39,22.7,13.5,37,19.9,35,20.5,13,33.4,19.4
