"Table with row headers in columns A and B, and column headers in rows 5 through 6.",,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2020",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Race,Sex,Total population,Total citizen population,Registered,,,,,Voted,,,,
,,,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1
US,Total,,252274,231593,168308,66.7,0.4,72.7,0.4,154628,61.3,0.4,66.8,0.4
,Unknown,Male,121870,111485,79340,65.1,0.5,71.2,0.5,72474,59.5,0.5,65,0.5
,Unknown,Female,130404,120108,88968,68.2,0.5,74.1,0.5,82154,63,0.5,68.4,0.5
,White alone,Unknown,195227,181891,134889,69.1,0.4,74.2,0.4,124301,63.7,0.4,68.3,0.4
,White non-Hispanic alone,Unknown,157442,154827,118389,75.2,0.4,76.5,0.4,109830,69.8,0.4,70.9,0.4
,Black alone,Unknown,32219,30204,20844,64.7,1,69,1,18922,58.7,1,62.6,1
,Asian alone,Unknown,16094,11530,7354,45.7,1.5,63.8,1.7,6881,42.8,1.5,59.7,1.7
,Hispanic (of any race),Unknown,42468,30627,18719,44.1,1,61.1,1.1,16459,38.8,0.9,53.7,1.1
,White alone or in combination,Unknown,199610,185983,137710,69,0.4,74,0.4,126753,63.5,0.4,68.2,0.4
,Black alone or in combination,Unknown,34471,32275,22241,64.5,0.9,68.9,0.9,20152,58.5,1,62.4,1
,Asian alone or in combination,Unknown,17273,12641,8157,47.2,1.4,64.5,1.6,7593,44,1.4,60.1,1.6
ALABAMA,Total,Unknown,3769,3716,2527,67,3.1,68,3.1,2247,59.6,3.3,60.5,3.3
,Unknown,Male,1780,1755,1187,66.7,4.5,67.6,4.5,1038,58.4,4.8,59.2,4.8
,Unknown,Female,1990,1960,1340,67.3,4.3,68.4,4.3,1209,60.7,4.5,61.6,4.5
,White alone,Unknown,2657,2619,1860,70,3.6,71,3.6,1647,62,3.8,62.9,3.8
,White non-Hispanic alone,Unknown,2587,2569,1825,70.6,3.6,71,3.6,1617,62.5,3.9,63,3.9
,Black alone,Unknown,973,973,590,60.6,6.1,60.6,6.1,533,54.8,6.2,54.8,6.2
,Asian alone,Unknown,55,45,23,B,B,B,B,21,B,B,B,B
,Hispanic (of any race),Unknown,79,53,35,B,B,B,B,30,B,B,B,B
,White alone or in combination,Unknown,2692,2654,1883,69.9,3.6,70.9,3.6,1665,61.9,3.8,62.7,3.8
,Black alone or in combination,Unknown,988,988,603,61,6,61,6,543,54.9,6.2,54.9,6.2
,Asian alone or in combination,Unknown,58,48,26,B,B,B,B,21,B,B,B,B
ALASKA,Total,Unknown,528,516,383,72.6,3.2,74.2,3.1,330,62.4,3.4,63.8,3.4
,Unknown,Male,269,264,195,72.6,4.4,74.1,4.4,165,61.4,4.8,62.6,4.8
,Unknown,Female,259,253,188,72.5,4.5,74.3,4.5,165,63.5,4.9,65.1,4.9
,White alone,Unknown,345,343,265,76.7,3.7,77.3,3.7,243,70.3,4,70.9,4
,White non-Hispanic alone,Unknown,325,323,251,77.2,3.8,77.5,3.8,230,70.6,4.1,71,4.1
,Black alone,Unknown,17,16,11,B,B,B,B,8,B,B,B,B
,Asian alone,Unknown,35,27,18,B,B,B,B,17,B,B,B,B
,Hispanic (of any race),Unknown,28,27,21,B,B,B,B,17,B,B,B,B
,White alone or in combination,Unknown,375,372,287,76.6,3.5,77.1,3.5,259,69.2,3.9,69.7,3.9
,Black alone or in combination,Unknown,18,17,12,B,B,B,B,8,B,B,B,B
,Asian alone or in combination,Unknown,43,35,24,B,B,B,B,22,B,B,B,B
ARIZONA,Total,Unknown,5638,5075,3878,68.8,2.5,76.4,2.5,3649,64.7,2.6,71.9,2.6
,Unknown,Male,2739,2465,1784,65.1,3.8,72.4,3.7,1653,60.4,3.9,67.1,3.9
,Unknown,Female,2899,2610,2095,72.3,3.4,80.3,3.2,1996,68.9,3.5,76.5,3.4
,White alone,Unknown,4840,4365,3328,68.8,2.7,76.3,2.7,3152,65.1,2.8,72.2,2.8
,White non-Hispanic alone,Unknown,3140,3096,2480,79,3,80.1,3,2385,76,3.1,77,3.1
,Black alone,Unknown,279,259,205,73.3,10.4,79.2,9.9,179,63.9,11.3,69.1,11.3
,Asian alone,Unknown,206,158,111,53.8,14.1,70.2,14.8,107,52,14.1,67.9,15.1
,Hispanic (of any race),Unknown,1800,1340,895,49.7,5.1,66.8,5.5,814,45.2,5.1,60.8,5.8
,White alone or in combination,Unknown,4966,4472,3422,68.9,2.7,76.5,2.6,3242,65.3,2.8,72.5,2.8
,Black alone or in combination,Unknown,344,323,266,77.3,8.9,82.2,8.4,235,68.3,9.9,72.7,9.8
,Asian alone or in combination,Unknown,226,177,130,57.8,13.3,73.5,13.4,127,56.2,13.4,71.5,13.8
ARKANSAS,Total,Unknown,2283,2195,1361,59.6,3.4,62,3.4,1186,51.9,3.4,54,3.5
,Unknown,Male,1101,1057,641,58.2,4.9,60.6,4.9,546,49.6,4.9,51.6,5
,Unknown,Female,1182,1138,720,60.9,4.6,63.3,4.7,640,54.1,4.7,56.2,4.8
,White alone,Unknown,1867,1808,1139,61,3.7,63,3.7,1014,54.3,3.8,56.1,3.8
,White non-Hispanic alone,Unknown,1744,1733,1111,63.7,3.8,64.1,3.8,988,56.7,3.9,57,3.9
,Black alone,Unknown,336,325,186,55.3,8.5,57.1,8.6,146,43.3,8.4,44.7,8.6
,Asian alone,Unknown,24,18,14,B,B,B,B,11,B,B,B,B
